countrycode,swedishCountryNames,englishCountryNames,zone,dontNeedUtlandsfaktura
48,Diego Garcia,Diego Garcia,,
171,Ryssland,Russia,zone_3,
49,Djibouti,Djibouti,,
170,Rwanda,Rwanda,,
46,Danmark,Denmark,zone_1_eu,Y
173,Saint Kitts och Nevis,Saint Kitts and Nevis,,
47,Demokratiska republiken Kongo,Democratric Republic of the Congo,,
172,Réunion,Réunion,zone_2a_eu,
40,Centralafrikanska republiken,Central African Republic,,
179,Sankt Helena,Saint Helena,,
41,Chile,Chile,,
178,Samoa,Samoa,,
44,Costa Rica,Costa Rica,,
175,Saint Pierre och Miquelon,Saint Pierre and Miquelon,,
45,Cuba,Cuba,,
174,Saint Lucia,Saint Lucia,,
42,Colombia,Colombia,,
177,Salomonöarna,Solomon Islands,,
43,Cooköarna,Cook Islands,,
176,Saint Vincent och Grenadinerna,Saint Vincent och Grenadier,,
57,Eritrea,Eritrea,,
162,Papa Nya Guinea,Papua New Guinea,,
58,Estland,Estonia,zone_1_eu,Y
161,Panama,Panama,,
59,Etiopien,Ethiopia,,
160,Palestina,Palestinian State,,
50,Dominica,Dominica,,
169,Rumänien,Romania,zone_2a_eu,Y
51,Dominikanska republiken,Dominican Republic,,
168,Qatar,Qatar,,
52,Ecuador,Ecuador,,
167,Puerto Rico,Puerto Rico,zone_4,
53,Egypten,Egypt,zone_6,Y
166,Portugal,Portugal,zone_2a_eu,Y
54,Ekvatorialguinea,Guinea Ecuatorial,,
165,Polen,Poland,zone_2a_eu,Y
55,El Salvador,El Salvador,,
164,Peru,Peru,,
56,Elfenbenskusten,Ivory Coast,,
163,Paraguay,Paraguay,,
149,Nigeria,Nigeria,,
68,Förenade Arabemiraten,United Arab Emirates,zone_6,
151,Nordkorea,North Korea,,
69,Gabon,Gabon,,
150,Niue,Niue,,
66,Franska Polynesien,French Polynesia,,
7,Andorra,Andorra,zone_2b,
67,Färöarna,Faroe Islands,zone_2b,
6,Amerikanska Samoa,American Samoa,,
152,Norge,Norway,zone_1_non_eu,Y
64,Frankrike,France,zone_2a_eu,Y
9,Anguilla,Anguilla,,
155,Nya Kaledonien,New Caledonia,,
65,Franska Guyana,French Guiana,zone_2a_eu,
8,Angola,Angola,,
154,Norra Marianeröarna,North Mariana Islands,,
62,Filippinerna,Philippines,,
157,Oman,Oman,,
63,Finland,Finland,zone_1_eu,Y
156,Nya Zeeland,New Zeeland,zone_5,Y
60,Falklandsöarna,Falkland Islands,,
159,Palau,Palau,,
61,Fiji,Fiji,,
