gprs,to_zone_2b,receive_sms,receive_call,receive_mms,in_country,to_sweden,send_sms,surf_abroad,surf_abroad_sms_word,to_zone_1_2a,send_mms,to_zone_3_5,to_zone_6,to_zone_7,surfAbroadPrices,foreignAreaToAreaPriceMap
"2,23","6,75",0,"0,55","2,23","2,49","2,12","0,67",49,50MB Zon2a,"2,49","2,23","18,00","18,00","18,00",zone_2a_eu,zone_2a_eu
"3,80","5,40",0,"0,59","2,80","1,99","1,99","0,67",,,"1,99","3,80","14,40","14,40","14,40",,zone_2a_non_eu
"116,00","17,60",0,"12,80","7,20","9,60","17,60","3,20",,,"17,60","8,40","22,40","22,40","22,40",,zone_5
"96,00","18,00",0,"5,40","6,00","13,80","18,00","3,20",,,"18,00","7,20","22,40","22,40","22,40",,zone_4
116,"22,40",0,"6,40","7,20","14,40","22,40","3,20",,,"22,40","8,40","22,40","22,40","22,40",,zone_3
"2,23","6,75",0,"0,55","2,23","2,49","2,12","0,67",29,50MB Zon 1,"2,49","2,23","18,00","18,00","18,00",zone_1_eu,zone_1_eu
"96,00","9,60",0,"4,20","6,00","7,80","9,60","2,40",,,"9,60","7,20","14,40","14,40","14,40",,zone_2b
"3,80","5,40",0,"0,59","2,80","1,99","1,99","0,67",,,"1,99","3,80","14,40","14,40","14,40",,zone_1_non_eu
"116,00","18,00",0,"12,80","7,60","18,00","18,00","1,99",,,"18,00","8,40","9,99","9,99","9,99",,zone_6
"96,00","4,99",0,"1,99","6,00","4,99","4,99","1,99",,,"4,99","7,20","9,99","9,99","9,99",,zone_7
